campaign_id,client_id,client_name,platform,report_date,attribution_window,spend_eur,impressions,clicks,conversions,cpm,ctr,cvr,cpc,cpa,revenue_eur,roas
72,1,Client_1,Meta Ads,2024-01-09,1d_click,863.05,93949,805,20,9.19,0.86,2.48,1.07,43.15,2994.11,3.47
72,1,Client_1,Meta Ads,2024-01-09,1d_view,863.05,93949,241,6,9.19,0.26,2.49,3.58,143.84,518.91,0.6
72,1,Client_1,Meta Ads,2024-01-09,28d_click,863.05,93949,805,26,9.19,0.86,3.23,1.07,33.19,3277.74,3.8
72,1,Client_1,Meta Ads,2024-01-09,7d_click,863.05,93949,805,26,9.19,0.86,3.23,1.07,33.19,91025.7,105.47
72,1,Client_1,Meta Ads,2024-01-09,7d_view,863.05,93949,241,17,9.19,0.26,7.05,3.58,50.77,3216.06,3.73
71,1,Client_1,Meta Ads,2024-01-11,1d_click,910.88,70503,1421,47,12.92,2.02,3.31,0.64,19.38,6189.36,6.79
71,1,Client_1,Meta Ads,2024-01-11,1d_view,910.88,70503,426,19,12.92,0.6,4.46,2.14,47.94,3019.67,3.32
71,1,Client_1,Meta Ads,2024-01-11,28d_click,910.88,70503,1421,63,12.92,2.02,4.43,0.64,14.46,11672.21,12.81
71,1,Client_1,Meta Ads,2024-01-11,7d_click,910.88,70503,1421,55,12.92,2.02,3.87,0.64,16.56,5829.46,6.4
71,1,Client_1,Meta Ads,2024-01-11,7d_view,910.88,70503,426,38,12.92,0.6,8.92,2.14,23.97,4982.37,5.47
72,1,Client_1,Meta Ads,2024-01-11,1d_click,711.93,101349,1328,44,7.02,1.31,3.31,0.54,16.18,5662.12,7.95
72,1,Client_1,Meta Ads,2024-01-11,1d_view,711.93,101349,398,19,7.02,0.39,4.77,1.79,37.47,1814.53,2.55
72,1,Client_1,Meta Ads,2024-01-11,28d_click,711.93,101349,1328,65,7.02,1.31,4.89,0.54,10.95,8422.56,11.83
72,1,Client_1,Meta Ads,2024-01-11,7d_click,711.93,101349,1328,53,7.02,1.31,3.99,0.54,13.43,305110.77,428.57
72,1,Client_1,Meta Ads,2024-01-11,7d_view,711.93,101349,398,22,7.02,0.39,5.53,1.79,32.36,3777.82,5.31
71,1,Client_1,Meta Ads,2024-01-12,1d_click,796.21,69885,1042,30,11.39,1.49,2.88,0.76,26.54,4526.96,5.69
